phantom,TR_star,TE_star,J_max,CNR_at_opt,noise_std_est_at_opt
0,500.0,10.0,1.0896203383069087,1.7296203383069089,0.019804373453326137
1,3000.0,40.0,2.0023261688419045,5.842326168841905,0.019928477973140568
2,3000.0,30.0,5.253877034693085,9.093877034693085,0.019877691426894866
3,2500.0,60.0,2.3752071958978274,5.5752071958978275,0.01992538941882491
4,600.0,10.0,2.7916174367016158,3.559617436701616,0.020059253305762338
5,3500.0,50.0,2.834400703349395,7.314400703349396,0.019891245251909644
6,3700.0,10.0,7.46986512312653,12.20586512312653,0.01988427780621684
7,400.0,10.0,0.9045405885014968,1.4165405885014968,0.019890219672751917
8,3700.0,10.0,2.5835357629218914,7.319535762921892,0.019819852396383425
9,3800.0,15.0,2.6846652581435126,7.548665258143513,0.019871406400891512
