phantom,TR_true,TE_true,J_true_max,TR_pred,TE_pred,TR_abs_error_ms,TE_abs_error_ms,J0_anchor,J_true_achieved_at_recommendation,pct_J_lost_vs_true_optimum
8,3700.0,10.0,6.2926676460746105,4000.0,10.0,300.0,0.0,1.0505647581773765,6.075542213932946,3.450451287254356
12,1200.0,10.0,9.337487356814474,4000.0,10.0,2800.0,0.0,3.5968402604419145,2.943906305769752,68.47217886224483
13,3600.0,60.0,16.503471450120877,4000.0,10.0,400.0,50.0,0.9172629876495315,5.928821644940315,64.0753057969242
14,1500.0,10.0,26.603565325491445,4000.0,10.0,2500.0,0.0,10.663973482133214,22.44692071101125,15.624389295426035
36,3500.0,50.0,5.878524563097288,200.0,10.0,3300.0,40.0,1.3175999595679306,1.3175999595679306,77.5862131188862
47,2400.0,10.0,8.093947411983592,4000.0,10.0,1600.0,0.0,2.0967151540925224,6.572001050710795,18.80351183328804
53,2100.0,30.0,0.7353548678068726,3350.0,10.0,1250.0,20.0,-0.029262732631970878,0.404832688500365,44.94730221852328
65,1000.0,10.0,7.281947827416892,4000.0,10.0,3000.0,0.0,3.4097791768189527,1.7684110249106402,75.7151372902728
66,800.0,10.0,0.8200492130948067,1700.0,10.0,900.0,0.0,0.4572147317877434,0.018695133300618227,97.72024132526286
77,2000.0,10.0,4.770259064574891,4000.0,10.0,2000.0,0.0,1.1346404604274813,3.4702694302863852,27.25197130733106
